Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,37,Other,4,13.5,119,215593
0,40,Tech,7,15.0,133,376070
0,39,Operations,3,14.5,117,307342
0,50,Other,4,20.0,173,274189
0,29,Media,2,9.5,30,133804
0,35,Engineering,0,12.5,30,228399
0,38,Sales,6,14.0,106,213085
0,41,Finance,1,15.5,140,172823
0,38,Other,4,14.0,119,199215
0,40,Tech,7,15.0,141,355205
0,34,Other,4,12.0,103,356847
1,33,Media,2,11.5,10,130933
0,40,Other,4,15.0,40,417718
0,30,Media,2,10.0,35,164983
0,39,Finance,1,14.5,99,120247
0,31,Other,4,10.5,52,151901
0,44,Operations,3,17.0,190,377442
0,40,Tech,7,15.0,43,207661
0,32,Media,2,11.0,48,235155
0,34,Tech,7,12.0,117,339332
1,35,Finance,1,12.5,144,167265
1,43,Other,4,16.5,31,321045
1,31,Sales,6,10.5,40,89053
0,34,Media,2,12.0,18,297840
1,35,Other,4,12.5,17,263401
0,34,Engineering,0,12.0,104,229981
1,37,Tech,7,13.5,115,332102
0,39,Finance,1,14.5,61,220528
0,30,Operations,3,10.0,12,80333
0,38,Sales,6,14.0,82,244879
0,29,Media,2,9.5,95,239403
0,42,Other,4,16.0,82,249559
0,29,Other,4,9.5,63,192819
0,35,Media,2,12.5,28,229495
0,42,Tech,7,16.0,52,711862
0,31,Tech,7,10.5,61,197290
0,33,Tech,7,11.5,83,209537
0,39,Other,4,14.5,24,165443
0,38,Media,2,14.0,68,352286
0,39,Finance,1,14.5,65,84207
0,32,Tech,7,11.0,54,223424
0,32,Finance,1,11.0,59,111208
0,31,Tech,7,10.5,49,123148
0,37,Media,2,13.5,93,209700
0,39,Engineering,0,14.5,88,330929
0,37,Other,4,13.5,65,231804
0,29,Other,4,9.5,58,151258
0,35,Tech,7,12.5,38,188172
0,31,Media,2,10.5,12,198818
0,32,Tech,7,11.0,72,176566
0,31,Tech,7,10.5,23,152834
0,35,Media,2,12.5,24,240649
0,32,Tech,7,11.0,42,280300
0,33,Other,4,11.5,84,122186
1,31,Other,4,10.5,88,136062
0,31,Tech,7,10.5,53,116460
0,34,Media,2,12.0,11,209647
0,28,Tech,7,9.0,56,150184
0,37,Finance,1,13.5,81,105936
0,28,Finance,1,9.0,14,89125
0,29,Product,5,9.5,84,222019
1,33,Other,4,11.5,68,99284
1,31,Tech,7,10.5,67,164302
0,34,Other,4,12.0,22,88840
0,29,Other,4,9.5,49,134523
0,29,Tech,7,9.5,69,143817
0,32,Other,4,11.0,69,183001
1,31,Other,4,10.5,11,274165
0,29,Other,4,9.5,84,242464
0,33,Engineering,0,11.5,57,287006
1,29,Other,4,9.5,56,132702
0,32,Tech,7,11.0,85,228221
1,28,Finance,1,9.0,62,93458
0,36,Tech,7,13.0,61,362186
0,38,Media,2,14.0,10,302467
0,32,Engineering,0,11.0,25,216288
0,30,Media,2,10.0,28,170397
0,34,Product,5,12.0,25,201724
1,30,Tech,7,10.0,31,118142
0,34,Operations,3,12.0,85,235241
1,36,Tech,7,13.0,84,203711
1,42,Sales,6,16.0,34,495905
0,35,Other,4,12.5,97,224635
1,29,Tech,7,9.5,84,220212
0,30,Other,4,10.0,26,90509
0,34,Media,2,12.0,87,147368
0,32,Media,2,11.0,12,167600
1,29,Engineering,0,9.5,37,104129
1,32,Other,4,11.0,64,161941
1,33,Tech,7,11.5,84,371471
0,41,Media,2,15.5,85,272643
0,33,Other,4,11.5,34,163174
0,37,Tech,7,13.5,76,207623
0,43,Other,4,16.5,67,552153
1,37,Media,2,13.5,38,107500
1,28,Tech,7,9.0,38,88630
0,35,Other,4,12.5,91,164386
0,34,Tech,7,12.0,46,251829
1,28,Tech,7,9.0,82,199090
0,32,Other,4,11.0,11,194400
0,34,Other,4,12.0,90,279287
0,35,Tech,7,12.5,48,213420
1,36,Tech,7,13.0,57,354904
1,30,Finance,1,10.0,48,96386
1,34,Media,2,12.0,97,242623
0,31,Other,4,10.5,70,251712
0,31,Tech,7,10.5,31,127201
0,30,Engineering,0,10.0,36,178588
1,31,Tech,7,10.5,41,147007
1,29,Other,4,9.5,35,129121
0,33,Other,4,11.5,67,285580
0,42,Other,4,16.0,88,247164
0,33,Other,4,11.5,50,148610
1,32,Media,2,11.0,67,158163
0,42,Media,2,16.0,23,289219
1,40,Other,4,15.0,94,202219
0,42,Other,4,16.0,33,210834
1,39,Tech,7,14.5,95,316053
1,28,Other,4,9.0,57,180898
0,29,Tech,7,9.5,34,186782
0,31,Other,4,10.5,37,112974
1,30,Finance,1,10.0,68,110314
0,34,Other,4,12.0,22,114075
0,38,Tech,7,14.0,117,363386
0,34,Other,4,12.0,122,335839
0,43,Media,2,16.5,117,313945
0,34,Tech,7,12.0,48,218041
0,30,Product,5,10.0,108,244157
0,34,Media,2,12.0,33,266268
0,40,Media,2,15.0,148,335481
0,42,Other,4,16.0,104,499907
1,31,Other,4,10.5,16,104133
0,36,Finance,1,13.0,128,176006
0,30,Media,2,10.0,108,259196
0,28,Product,5,9.0,33,131769
1,40,Tech,7,15.0,155,189634
0,38,Product,5,14.0,149,105189
0,33,Other,4,11.5,104,110466
0,39,Other,4,14.5,147,226729
0,34,Other,4,12.0,117,223622
0,46,Other,4,18.0,15,286600
1,45,Other,4,17.5,131,443054
1,37,Other,4,13.5,153,279717
0,31,Tech,7,10.5,15,176716
1,29,Media,2,9.5,33,128998
0,40,Tech,7,15.0,147,222111
1,34,Other,4,12.0,48,101777
1,50,Finance,1,20.0,190,146276
0,32,Other,4,11.0,28,226288
0,34,Product,5,12.0,99,258233
1,35,Tech,7,12.5,36,79423
0,37,Tech,7,13.5,146,412864
0,30,Media,2,10.0,108,265008
0,53,Other,4,21.5,127,747518
1,39,Sales,6,14.5,129,261848
1,32,Other,4,11.0,47,189750
1,29,Media,2,9.5,53,141710
0,37,Operations,3,13.5,136,196891
0,32,Tech,7,11.0,105,195345
1,35,Tech,7,12.5,108,279962
0,33,Finance,1,11.5,106,173948
1,28,Media,2,9.0,55,150338
0,48,Media,2,19.0,65,767947
1,36,Tech,7,13.0,126,181202
1,28,Other,4,9.0,13,163650
0,41,Operations,3,15.5,164,172376
0,40,Other,4,15.0,121,227938
0,29,Media,2,9.5,59,193755
0,30,Other,4,10.0,38,111329
1,39,Media,2,14.5,120,285235
0,38,Tech,7,14.0,130,480000
0,35,Other,4,12.5,106,285798
0,35,Other,4,12.5,131,178881
0,34,Other,4,12.0,33,117463
0,38,Media,2,14.0,136,512007
0,37,Other,4,13.5,160,341201
0,42,Operations,3,16.0,118,219469
0,36,Media,2,13.0,150,261530
0,35,Tech,7,12.5,147,361699
0,33,Other,4,11.5,103,240793
1,30,Other,4,10.0,49,135338
1,31,Other,4,10.5,61,112295
1,34,Operations,3,12.0,102,177575
0,29,Other,4,9.5,15,88822
0,40,Other,4,15.0,177,332122
1,29,Finance,1,9.5,60,76377
0,42,Media,2,16.0,50,335684
1,28,Engineering,0,9.0,30,180086
0,47,Other,4,18.5,42,369758
1,34,Finance,1,12.0,30,79168
0,42,Media,2,16.0,65,480371
1,36,Tech,7,13.0,22,55446
1,32,Operations,3,11.0,11,143800
1,33,Product,5,11.5,86,150889
0,30,Other,4,10.0,61,136607
1,29,Media,2,9.5,35,220634
0,36,Engineering,0,13.0,41,104813
1,38,Finance,1,14.0,113,121945
0,29,Tech,7,9.5,33,126072
1,29,Other,4,9.5,59,129672
0,36,Media,2,13.0,140,370929
1,51,Other,4,20.5,142,183373
0,38,Media,2,14.0,105,308426
0,36,Tech,7,13.0,134,186510
0,33,Other,4,11.5,28,149575
0,37,Other,4,13.5,47,112503
0,31,Tech,7,10.5,40,198668
0,36,Media,2,13.0,73,235845
1,41,Other,4,15.5,23,195114
1,34,Other,4,12.0,86,195954
0,30,Other,4,10.0,28,173015
0,28,Finance,1,9.0,61,103009
0,36,Tech,7,13.0,93,240056
0,33,Tech,7,11.5,48,211092
0,32,Tech,7,11.0,84,144956
0,40,Tech,7,15.0,89,280565
0,45,Engineering,0,17.5,33,318362
0,34,Media,2,12.0,42,278879
0,38,Other,4,14.0,57,176051
0,38,Finance,1,14.0,90,148170
0,29,Finance,1,9.5,59,106837
0,45,Media,2,17.5,113,618037
0,31,Operations,3,10.5,65,183928
0,39,Other,4,14.5,33,264479
0,33,Engineering,0,11.5,13,252993
0,29,Engineering,0,9.5,84,263678
0,30,Media,2,10.0,48,224872
0,32,Tech,7,11.0,80,197513
0,32,Other,4,11.0,64,175595
0,38,Other,4,14.0,23,268375
0,39,Tech,7,14.5,88,190606
0,33,Finance,1,11.5,85,102074
0,39,Media,2,14.5,58,300930
0,36,Tech,7,13.0,85,516077
0,31,Tech,7,10.5,10,249933
0,30,Media,2,10.0,81,125949
0,32,Engineering,0,11.0,35,202309
0,35,Other,4,12.5,63,224150
0,42,Other,4,16.0,80,510961
0,32,Operations,3,11.0,62,102283
0,31,Tech,7,10.5,89,253825
0,27,Tech,7,8.5,14,195114
0,30,Other,4,10.0,27,209378
0,33,Engineering,0,11.5,37,176391
0,35,Media,2,12.5,71,265928
0,36,Engineering,0,13.0,73,238323
0,31,Tech,7,10.5,36,235638
0,28,Other,4,9.0,84,255217
0,30,Other,4,10.0,32,99079
1,29,Media,2,9.5,69,139902
1,36,Media,2,13.0,124,216763
1,42,Other,4,16.0,143,169588
0,32,Other,4,11.0,19,310220
0,32,Other,4,11.0,39,240627
0,39,Tech,7,14.5,114,205735
0,37,Other,4,13.5,170,129398
0,41,Other,4,15.5,134,134208
0,33,Media,2,11.5,117,242083
0,40,Tech,7,15.0,121,231778
0,32,Media,2,11.0,13,189889
0,41,Finance,1,15.5,178,235767
0,38,Media,2,14.0,90,308280
0,29,Other,4,9.5,32,85441
0,32,Engineering,0,11.0,60,141451
0,37,Finance,1,13.5,130,226697
0,38,Media,2,14.0,98,319849
0,29,Tech,7,9.5,27,134518
0,36,Other,4,13.0,79,168456
0,34,Tech,7,12.0,56,210585
0,40,Other,4,15.0,11,222167
0,35,Other,4,12.5,11,191400
1,30,Engineering,0,10.0,57,146755
0,30,Other,4,10.0,52,124936
1,27,Other,4,8.5,37,107930
0,30,Tech,7,10.0,49,94347
0,29,Engineering,0,9.5,23,166435
0,33,Media,2,11.5,13,161219
0,31,Other,4,10.5,11,154733
1,27,Tech,7,8.5,9,174588
1,30,Other,4,10.0,29,89629
0,29,Other,4,9.5,55,102828
1,38,Tech,7,14.0,62,340533
1,28,Tech,7,9.0,14,156900
0,28,Tech,7,9.0,39,95963
0,26,Sales,6,8.0,40,106343
0,35,Media,2,12.5,24,264688
0,27,Media,2,8.5,34,162381
0,31,Media,2,10.5,19,211742
1,26,Media,2,8.0,41,156330
0,28,Other,4,9.0,34,110352
0,27,Engineering,0,8.5,39,128260
1,26,Other,4,8.0,39,185361
1,28,Other,4,9.0,17,103008
0,27,Other,4,8.5,48,99354
0,27,Other,4,8.5,9,154337
0,28,Other,4,9.0,17,95669
0,35,Other,4,12.5,28,128783
0,29,Other,4,9.5,9,114685
1,27,Media,2,8.5,24,98565
0,37,Other,4,13.5,48,157715
0,28,Media,2,9.0,11,170600
0,29,Other,4,9.5,51,136710
1,29,Tech,7,9.5,21,107108
0,31,Other,4,10.5,60,186602
0,32,Product,5,11.0,14,159097
1,28,Other,4,9.0,12,124546
0,27,Tech,7,8.5,10,129450
0,30,Tech,7,10.0,58,166491
1,30,Tech,7,10.0,35,107751
0,28,Tech,7,9.0,48,110643
0,29,Media,2,9.5,29,97811
0,33,Tech,7,11.5,17,111725
0,29,Other,4,9.5,33,104615
1,29,Other,4,9.5,41,121682
0,29,Engineering,0,9.5,25,196627
0,36,Other,4,13.0,35,104088
0,30,Other,4,10.0,33,87043
0,31,Tech,7,10.5,17,99568
0,29,Other,4,9.5,15,79822
0,28,Tech,7,9.0,37,151311
0,38,Tech,7,14.0,22,484858
0,29,Tech,7,9.5,38,150234
0,29,Tech,7,9.5,26,182233
0,28,Tech,7,9.0,42,175634
0,31,Tech,7,10.5,32,237532
0,30,Tech,7,10.0,10,197364
0,29,Other,4,9.5,14,250900
0,32,Tech,7,11.0,41,343230
1,26,Other,4,8.0,35,96376
0,33,Media,2,11.5,61,185842
1,30,Product,5,10.0,9,97646
1,29,Media,2,9.5,36,126334
0,27,Tech,7,8.5,11,171988
0,27,Media,2,8.5,47,165800
1,30,Media,2,10.0,26,225910
0,29,Other,4,9.5,22,149697
0,29,Media,2,9.5,23,121984
0,28,Other,4,9.0,47,174171
0,28,Other,4,9.0,48,137514
0,30,Other,4,10.0,39,70549
1,29,Tech,7,9.5,41,102958
0,33,Tech,7,11.5,56,190281
0,27,Engineering,0,8.5,32,189113
0,31,Other,4,10.5,31,78565
1,27,Tech,7,8.5,10,93185
0,26,Media,2,8.0,10,135867
0,27,Media,2,8.5,21,79449
0,32,Other,4,11.0,34,157816
0,29,Other,4,9.5,13,260000
0,28,Other,4,9.0,42,63789
0,30,Other,4,10.0,32,78797
1,28,Media,2,9.0,16,80333
0,36,Other,4,13.0,39,232906
0,32,Engineering,0,11.0,69,233475
0,26,Media,2,8.0,26,133988
1,28,Other,4,9.0,10,112646
1,32,Other,4,11.0,27,122712
1,29,Other,4,9.5,26,80457
0,30,Other,4,10.0,14,104185
0,33,Other,4,11.5,54,105715
0,29,Tech,7,9.5,40,118232
0,26,Other,4,8.0,11,118122
1,29,Other,4,9.5,13,66683
1,26,Tech,7,8.0,24,122841
0,27,Tech,7,8.5,30,117050
0,32,Engineering,0,11.0,51,93798
1,28,Tech,7,9.0,47,125306
0,31,Finance,1,10.5,25,79035
0,28,Finance,1,9.0,28,55644
1,30,Finance,1,10.0,50,101320
1,33,Other,4,11.5,48,113015
0,27,Engineering,0,8.5,20,120620
0,26,Media,2,8.0,26,90198
0,33,Tech,7,11.5,68,233239
1,29,Media,2,9.5,23,162103
1,29,Other,4,9.5,47,191881
1,27,Other,4,8.5,12,88883
0,32,Media,2,11.0,28,148796
0,43,Other,4,16.5,42,255976
0,27,Media,2,8.5,9,114591
1,27,Tech,7,8.5,11,114591
0,34,Media,2,12.0,13,230273
0,31,Other,4,10.5,32,114628
0,28,Other,4,9.0,34,104772
1,32,Media,2,11.0,43,159715
1,26,Other,4,8.0,33,82682
0,29,Other,4,9.5,34,142846
0,28,Other,4,9.0,9,100532
0,28,Other,4,9.0,41,177634
0,27,Tech,7,8.5,10,89853
0,30,Other,4,10.0,11,129917
1,27,Tech,7,8.5,27,107048
0,29,Other,4,9.5,22,119193
0,29,Tech,7,9.5,31,87312
1,38,Tech,7,14.0,68,214243
0,27,Tech,7,8.5,31,112956
0,30,Product,5,10.0,37,131181
0,28,Tech,7,9.0,32,81085
1,31,Tech,7,10.5,50,131726
0,27,Other,4,8.5,26,215214
0,26,Tech,7,8.0,14,126767
0,30,Other,4,10.0,11,102545
1,27,Tech,7,8.5,10,78242
1,26,Other,4,8.0,60,145308
0,27,Engineering,0,8.5,60,134118
0,30,Tech,7,10.0,58,132039
0,31,Engineering,0,10.5,66,141592
0,30,Media,2,10.0,61,100521
1,27,Tech,7,8.5,61,117429
1,26,Other,4,8.0,61,103415
0,32,Other,4,11.0,60,98144
0,28,Tech,7,9.0,59,231028
0,27,Other,4,8.5,60,135816
0,26,Tech,7,8.0,60,175415
0,26,Tech,7,8.0,60,145228
1,30,Tech,7,10.0,61,103053
1,27,Other,4,8.5,59,139558
0,42,Other,4,16.0,73,259764
0,28,Tech,7,9.0,72,146361
0,34,Tech,7,12.0,70,326066
0,40,Tech,7,15.0,63,177650
0,33,Engineering,0,11.5,41,226006
0,32,Other,4,11.0,63,109513
0,31,Engineering,0,10.5,59,242018
0,31,Tech,7,10.5,40,188931
1,30,Other,4,10.0,71,141286
0,26,Other,4,8.0,10,119646
0,29,Other,4,9.5,60,157166
0,27,Tech,7,8.5,72,141215
1,27,Media,2,8.5,24,166602
1,26,Operations,3,8.0,59,141061
0,36,Other,4,13.0,62,106684
0,30,Other,4,10.0,35,92187
0,28,Tech,7,9.0,29,61959
1,27,Other,4,8.5,72,158238
0,30,Operations,3,10.0,50,134925
0,27,Other,4,8.5,72,201525
0,34,Other,4,12.0,37,261896
1,27,Other,4,8.5,72,128250
0,28,Other,4,9.0,72,157068
1,27,Product,5,8.5,72,135984
0,31,Other,4,10.5,37,167111
1,26,Media,2,8.0,56,98928
0,29,Product,5,9.5,59,122568
0,26,Tech,7,8.0,57,125510
0,29,Operations,3,9.5,42,142941
0,31,Tech,7,10.5,67,117331
1,30,Tech,7,10.0,38,113674
1,26,Media,2,8.0,33,126366
0,25,Other,4,7.5,13,79367
1,29,Tech,7,9.5,41,156771
0,26,Tech,7,8.0,13,94867
1,33,Other,4,11.5,61,113845
0,29,Finance,1,9.5,72,108067
1,27,Other,4,8.5,72,155272
0,35,Other,4,12.5,73,121795
0,30,Operations,3,10.0,71,190127
0,32,Other,4,11.0,72,154411
0,27,Tech,7,8.5,72,155555
0,30,Operations,3,10.0,71,156145
0,31,Other,4,10.5,72,132947
0,28,Tech,7,9.0,72,188421
1,32,Other,4,11.0,73,265483
0,32,Other,4,11.0,72,142274
1,28,Media,2,9.0,72,135504
1,28,Tech,7,9.0,72,150972
0,35,Media,2,12.5,61,263470
0,37,Sales,6,13.5,65,280110
1,28,Tech,7,9.0,15,172634
0,26,Other,4,8.0,33,81323
0,29,Tech,7,9.5,53,221828
1,30,Finance,1,10.0,50,77612
0,28,Product,5,9.0,36,117426
0,30,Engineering,0,10.0,34,171731
0,28,Media,2,9.0,10,162667
0,30,Other,4,10.0,55,139270
0,37,Engineering,0,13.5,55,186174
0,37,Other,4,13.5,55,180595
0,27,Operations,3,8.5,15,105254
0,31,Engineering,0,10.5,33,176923
1,28,Other,4,9.0,32,102059
0,31,Other,4,10.5,10,163222
1,27,Tech,7,8.5,68,133350
1,26,Media,2,8.0,25,89853
0,55,Media,2,22.5,69,513881
0,30,Tech,7,10.0,59,99538
0,29,Tech,7,9.5,24,118070
1,27,Media,2,8.5,14,150097
1,26,Tech,7,8.0,12,113081
1,30,Product,5,10.0,61,120245
0,38,Finance,1,14.0,69,108139
0,34,Tech,7,12.0,53,108966
1,30,Other,4,10.0,59,96071
0,27,Other,4,8.5,21,139008
0,26,Other,4,8.0,53,152402
1,30,Operations,3,10.0,64,175323
0,32,Operations,3,11.0,59,127834
0,29,Finance,1,9.5,23,89433
0,30,Tech,7,10.0,61,90368
0,47,Other,4,18.5,10,358000
1,27,Other,4,8.5,14,114684
0,30,Other,4,10.0,29,168783
0,27,Other,4,8.5,26,190219
0,32,Tech,7,11.0,36,200552
0,30,Operations,3,10.0,50,113309
0,30,Finance,1,10.0,33,93973
1,26,Media,2,8.0,11,104133
0,30,Other,4,10.0,15,94555
0,26,Other,4,8.0,17,117271
0,28,Tech,7,9.0,15,134162
0,28,Media,2,9.0,22,128395
0,29,Tech,7,9.5,15,115861
0,27,Other,4,8.5,11,95681
1,27,Other,4,8.5,14,119984
1,27,Other,4,8.5,37,73083
0,26,Other,4,8.0,10,114686
0,30,Tech,7,10.0,34,232542
1,27,Tech,7,8.5,23,94375
0,26,Product,5,8.0,12,74457
0,30,Tech,7,10.0,39,93015
0,27,Tech,7,8.5,41,150322
1,26,Other,4,8.0,33,84693
1,32,Other,4,11.0,48,65681
0,28,Tech,7,9.0,50,98566
0,28,Other,4,9.0,51,102047
0,31,Product,5,10.5,49,156759
0,34,Other,4,12.0,51,127754
0,28,Other,4,9.0,22,71662
0,31,Other,4,10.5,13,120275
0,34,Engineering,0,12.0,33,321483
0,30,Other,4,10.0,30,92883
0,27,Engineering,0,8.5,12,99200
0,33,Other,4,11.5,15,299277
0,28,Other,4,9.0,49,131324
1,32,Tech,7,11.0,47,79799
0,31,Other,4,10.5,48,149739
0,27,Other,4,8.5,40,86990
0,28,Other,4,9.0,40,95798
0,31,Tech,7,10.5,40,291163
0,27,Other,4,8.5,25,101450
1,34,Tech,7,12.0,12,111591
0,30,Other,4,10.0,35,152784
0,36,Tech,7,13.0,28,291357
0,26,Other,4,8.0,35,87090
1,26,Tech,7,8.0,14,121167
0,28,Other,4,9.0,19,118899
0,29,Other,4,9.5,36,61382
0,26,Engineering,0,8.0,26,108840
0,29,Tech,7,9.5,10,183248
1,31,Other,4,10.5,37,105609
0,27,Media,2,8.5,39,158611
0,27,Operations,3,8.5,41,92904
1,43,Other,4,16.5,41,168148
0,31,Engineering,0,10.5,33,85669
0,30,Tech,7,10.0,10,143800
0,26,Other,4,8.0,48,93517
1,26,Other,4,8.0,48,122087
0,28,Engineering,0,9.0,48,104810
0,27,Other,4,8.5,48,89962
1,27,Operations,3,8.5,48,93071
0,30,Other,4,10.0,48,138604
0,26,Other,4,8.0,48,133467
0,26,Other,4,8.0,48,85045
0,34,Other,4,12.0,49,207867
0,26,Tech,7,8.0,48,118115
1,32,Sales,6,11.0,37,344731
1,26,Other,4,8.0,37,93608
1,25,Other,4,7.5,48,105816
1,27,Other,4,8.5,48,113169
1,25,Media,2,7.5,48,112008
0,26,Media,2,8.0,48,99552
1,26,Other,4,8.0,48,93250
0,27,Other,4,8.5,48,103253
1,26,Tech,7,8.0,48,85372
0,28,Operations,3,9.0,48,184068
1,29,Operations,3,9.5,48,75149
1,26,Other,4,8.0,48,117409
0,28,Other,4,9.0,48,149867
1,25,Other,4,7.5,48,128196
0,28,Other,4,9.0,48,96200
0,25,Tech,7,7.5,48,103297
1,25,Other,4,7.5,48,85115
0,28,Other,4,9.0,48,105764
0,27,Other,4,8.5,48,121771
1,27,Tech,7,8.5,48,119582
1,25,Other,4,7.5,48,113985
1,25,Media,2,7.5,48,132749
1,25,Other,4,7.5,15,111100
1,25,Tech,7,7.5,48,122099
0,31,Other,4,10.5,48,111754
1,28,Other,4,9.0,48,116556
0,28,Other,4,9.0,48,121822
0,26,Other,4,8.0,48,110911
0,26,Tech,7,8.0,48,118660
0,25,Other,4,7.5,24,102843
0,37,Tech,7,13.5,35,161672
0,32,Finance,1,11.0,39,86862
1,29,Finance,1,9.5,32,79301
0,25,Engineering,0,7.5,12,100167
0,34,Other,4,12.0,26,197254
1,25,Other,4,7.5,39,87196
0,28,Other,4,9.0,22,99846
0,25,Operations,3,7.5,12,109466
0,28,Media,2,9.0,43,140477
1,27,Operations,3,8.5,35,194091
0,25,Media,2,7.5,47,146846
1,29,Engineering,0,9.5,22,97981
1,28,Other,4,9.0,47,92093
0,29,Finance,1,9.5,39,85323
0,35,Other,4,12.5,35,100368
0,31,Other,4,10.5,14,64154
0,30,Tech,7,10.0,47,185404
0,26,Other,4,8.0,35,152143
0,31,Tech,7,10.5,35,110619
1,29,Tech,7,9.5,41,109312
1,27,Other,4,8.5,23,110000
0,31,Other,4,10.5,17,159375
0,28,Media,2,9.0,30,152607
1,26,Media,2,8.0,28,131345
0,26,Engineering,0,8.0,38,116817
0,26,Other,4,8.0,13,122301
1,26,Other,4,8.0,11,93250
0,26,Tech,7,8.0,12,119033
0,26,Tech,7,8.0,31,105898
0,29,Tech,7,9.5,9,111591
0,27,Product,5,8.5,13,60500
0,26,Tech,7,8.0,11,126967
0,33,Media,2,11.5,35,346144
0,32,Sales,6,11.0,23,252196
0,41,Tech,7,15.5,29,289615
0,30,Tech,7,10.0,65,212997
0,37,Media,2,13.5,67,225454
1,31,Other,4,10.5,19,175612
0,33,Operations,3,11.5,69,99509
0,37,Other,4,13.5,69,119386
0,33,Other,4,11.5,70,115710
1,33,Other,4,11.5,37,169716
0,26,Tech,7,8.0,33,208169
0,31,Tech,7,10.5,69,369749
1,27,Tech,7,8.5,23,122829
0,30,Other,4,10.0,12,128950
0,34,Other,4,12.0,32,136342
0,30,Tech,7,10.0,14,195366
0,29,Tech,7,9.5,22,143617
0,29,Media,2,9.5,23,153702
0,44,Tech,7,17.0,37,444751
0,28,Finance,1,9.0,32,80805
0,28,Tech,7,9.0,16,127467
0,26,Operations,3,8.0,57,198587
1,34,Other,4,12.0,62,117441
0,31,Tech,7,10.5,63,133034
0,32,Other,4,11.0,61,153224
1,31,Finance,1,10.5,61,87351
0,28,Tech,7,9.0,35,227907
0,35,Tech,7,12.5,12,164239
1,30,Other,4,10.0,36,111835
1,28,Finance,1,9.0,11,81400
0,37,Other,4,13.5,63,149638
0,46,Engineering,0,18.0,38,186658
0,42,Sales,6,16.0,23,449442
0,28,Other,4,9.0,11,90250
0,31,Tech,7,10.5,21,158500
0,32,Sales,6,11.0,20,184904
0,30,Other,4,10.0,52,104313
0,28,Media,2,9.0,26,176947
0,30,Other,4,10.0,24,86903
0,36,Tech,7,13.0,29,183236
0,27,Tech,7,8.5,38,100524
1,36,Other,4,13.0,52,169141
0,32,Engineering,0,11.0,55,213898
1,28,Other,4,9.0,11,123887
0,30,Tech,7,10.0,55,350351
0,36,Other,4,13.0,52,161237
1,28,Tech,7,9.0,35,160354
0,30,Media,2,10.0,36,167346
0,35,Tech,7,12.5,54,266894
0,28,Other,4,9.0,15,147867
0,28,Media,2,9.0,23,136725
0,30,Media,2,10.0,22,158994
0,32,Tech,7,11.0,9,146800
1,29,Media,2,9.5,22,212106
0,33,Sales,6,11.5,48,237803
0,32,Other,4,11.0,49,111723
0,33,Other,4,11.5,48,155091
0,31,Tech,7,10.5,23,168070
0,29,Tech,7,9.5,20,183400
0,27,Other,4,8.5,23,100399
1,30,Tech,7,10.0,47,128369
0,29,Tech,7,9.5,36,148211
0,31,Media,2,10.5,48,224636
0,36,Tech,7,13.0,36,244715
0,31,Tech,7,10.5,30,188605
0,29,Tech,7,9.5,24,167996
0,30,Tech,7,10.0,13,158270
0,34,Other,4,12.0,49,109711
1,40,Other,4,15.0,101,296365
0,30,Other,4,10.0,48,186003
0,30,Finance,1,10.0,48,216165
0,26,Engineering,0,8.0,27,80413
1,32,Tech,7,11.0,14,164761
0,31,Other,4,10.5,49,212460
0,30,Tech,7,10.0,9,196532
0,30,Tech,7,10.0,21,215725
1,25,Media,2,7.5,15,85059
0,36,Tech,7,13.0,36,230869
0,30,Finance,1,10.0,34,80551
0,32,Other,4,11.0,31,182545
0,26,Media,2,8.0,25,93235
0,29,Engineering,0,9.5,34,170959
0,32,Product,5,11.0,46,286920
0,33,Engineering,0,11.5,45,199892
0,32,Other,4,11.0,46,168105
1,29,Sales,6,9.5,45,141769
0,30,Engineering,0,10.0,46,93871
0,30,Tech,7,10.0,20,210752
0,29,Media,2,9.5,46,156379
1,30,Other,4,10.0,24,142695
0,26,Other,4,8.0,9,123560
0,37,Engineering,0,13.5,45,345941
1,26,Other,4,8.0,24,75174
0,38,Other,4,14.0,30,224094
0,32,Other,4,11.0,45,114830
0,35,Other,4,12.5,46,184360
0,27,Other,4,8.5,21,78613
0,32,Other,4,11.0,37,236908
0,36,Other,4,13.0,46,400970
0,29,Product,5,9.5,35,114398
1,26,Other,4,8.0,35,110977
1,29,Other,4,9.5,23,88602
0,27,Other,4,8.5,35,96634
1,31,Other,4,10.5,46,116975
0,33,Engineering,0,11.5,45,358422
0,28,Finance,1,9.0,46,84996
0,34,Other,4,12.0,39,244970
1,32,Other,4,11.0,45,84724
0,50,Engineering,0,20.0,45,968178
0,39,Engineering,0,14.5,45,453088
0,32,Tech,7,11.0,13,223133
1,28,Other,4,9.0,38,164465
1,29,Other,4,9.5,34,98433
1,26,Tech,7,8.0,46,98683
1,29,Other,4,9.5,11,159667
1,26,Other,4,8.0,45,73671
0,38,Other,4,14.0,45,76504
0,28,Tech,7,9.0,46,150103
0,30,Engineering,0,10.0,45,262968
0,28,Tech,7,9.0,26,181865
0,32,Tech,7,11.0,11,162667
0,37,Engineering,0,13.5,45,334279
1,25,Media,2,7.5,10,120000
0,26,Tech,7,8.0,23,129391
0,33,Tech,7,11.5,45,164949
1,32,Tech,7,11.0,45,162399
0,29,Tech,7,9.5,11,196184
